Name,Rank,Attack,Speed,Range,Value1,Value2,Value3
01FireTower,1,8,1,5,1.5,,
01FireTower,2,25,1,5,1.5,,
01FireTower,3,85,1,5,1.5,,
01FireTower,4,340,1,5,1.5,,
01FireTower,5,"1,700",1,5,1.5,,
01FireTower,6,"10,000",1,5,1.5,,
01FireTower,7,"85,000",1,5,1.5,,
02Slow Tower,1,5,1,5,5,,
02Slow Tower,2,15,1,5,15,,
02Slow Tower,3,50,1,5,25,,
02Slow Tower,4,200,1,5,35,,
02Slow Tower,5,"1,000",1,5,45,,
02Slow Tower,6,"6,000",1,5,55,,
02Slow Tower,7,"50,000",1,5,65,,
03Archer Tower,1,12,1,5,,,
03Archer Tower,2,36,1,5,,,
03Archer Tower,3,120,1,5,,,
03Archer Tower,4,480,1,5,,,
03Archer Tower,5,"2,400",1,5,,,
03Archer Tower,6,"14,400",1,5,,,
03Archer Tower,7,"120,000",1,5,,,
04Speed Tower,1,7,1.5,5,,,
04Speed Tower,2,21,1.8,5,,,
04Speed Tower,3,70,2.1,5,,,
04Speed Tower,4,280,2.4,5,,,
04Speed Tower,5,"1,400",2.7,5,,,
04Speed Tower,6,"8,400",3,5,,,
04Speed Tower,7,"70,000",3.3,5,,,
05Electric Tower,1,6,1,5,70,40,
05Electric Tower,2,18,1,5,70,40,
05Electric Tower,3,60,1,5,70,40,
05Electric Tower,4,240,1,5,70,40,
05Electric Tower,5,"1,200",1,5,70,40,
05Electric Tower,6,"7,200",1,5,70,40,
05Electric Tower,7,"60,000",1,5,70,40,
06Posion Tower,1,4,,,,,
06Posion Tower,2,12,1,5,50,,
06Posion Tower,3,40,1,5,50,,
06Posion Tower,4,160,1,5,50,,
06Posion Tower,5,800,1,5,50,,
06Posion Tower,6,"4,800",1,5,50,,
06Posion Tower,7,"40,000",1,5,50,,
07Stationary Tower,1,13,1,5,50,0.4,
07Stationary Tower,2,45,1,5,15,0.7,
07Stationary Tower,3,180,1,5,20,1,
07Stationary Tower,4,900,1,5,25,1.3,
07Stationary Tower,5,"5,400",1,5,35,1.6,
07Stationary Tower,6,"8,000",1,5,45,1.9,
07Stationary Tower,7,"45,000",1,5,60,2.2,
08Marking Tower,1,5,1,5,5,,
08Marking Tower,2,16,1,5,10,,
08Marking Tower,3,55,1,5,15,,
08Marking Tower,4,220,1,5,20,,
08Marking Tower,5,"1,100",1,5,30,,
08Marking Tower,6,"6,600",1,5,40,,
08Marking Tower,7,"22,000",1,5,50,,
09Meleeattack Tower,1,18,1,1.5,,,
09Meleeattack Tower,2,54,1,1.5,,,
09Meleeattack Tower,3,180,1,1.5,,,
09Meleeattack Tower,4,720,1,1.5,,,
09Meleeattack Tower,5,"3,600",1,1.5,,,
09Meleeattack Tower,6,"21,600",1,1.5,,,
09Meleeattack Tower,7,"180,000",1,1.5,,,
10Buff Tower,1,0,0,0,0.1,0.05,0.02
10Buff Tower,2,0,0,0,0.2,0.1,0.04
10Buff Tower,3,0,0,0,0.35,0.2,0.07
10Buff Tower,4,0,0,0,0.5,0.3,0.1
10Buff Tower,5,0,0,0,0.75,0.45,0.15
10Buff Tower,6,0,0,0,1,0.6,0.2
10Buff Tower,7,0,0,0,1.5,0.8,0.3
11Growth Tower,1,0,0,0,,,
11Growth Tower,2,0,0,0,,,
11Growth Tower,3,0,0,0,,,
11Growth Tower,4,0,0,0,,,
11Growth Tower,5,0,0,0,,,
11Growth Tower,6,0,0,0,,,
11Growth Tower,7,0,0,0,,,
