Wave,Hp,BossHp,Gold,Normal,Speed,Branch,Stone,Boss
1,10,0,5,10,0,0,0,0
2,15,0,6,10,0,0,0,0
3,20,0,7,7,3,0,0,0
4,30,0,12,5,3,1,1,0
5,40,0,15,5,3,1,1,0
6,55,0,15,11,0,0,0,0
7,75,0,20,11,0,0,0,0
8,100,0,25,8,3,0,0,0
9,140,0,30,11,0,0,0,0
10,0,1500,500,0,0,0,0,1
11,160,0,40,12,0,0,0,0
12,180,0,50,12,0,0,0,0
13,220,0,65,8,4,0,0,0
14,250,0,80,12,0,0,0,0
15,350,0,110,6,4,1,1,0
16,500,0,150,13,0,0,0,0
17,750,0,200,13,0,0,0,0
18,1000,0,280,9,4,0,0,0
19,1400,0,350,13,0,0,0,0
20,0,10000,2500,0,0,0,0,1
21,1800,0,450,14,0,0,0,0
22,2400,0,600,14,0,0,0,0
23,3200,0,800,9,5,0,0,0
24,4500,0,1100,14,0,0,0,0
25,6500,0,1500,7,5,1,1,0
26,9000,0,2000,15,0,0,0,0
27,13000,0,2800,15,0,0,0,0
28,18000,0,3800,10,5,0,0,0
29,25000,0,5000,15,0,0,0,0
30,0,120000,12000,0,0,0,0,1
31,35000,0,7000,16,0,0,0,0
32,48000,0,9000,16,0,0,0,0
33,65000,0,13000,10,6,0,0,0
34,90000,0,18000,16,0,0,0,0
35,130000,0,25000,8,6,1,1,0
36,180000,0,35000,17,0,0,0,0
37,250000,0,45000,17,0,0,0,0
38,350000,0,60000,11,6,0,0,0
39,500000,0,80000,17,0,0,0,0
40,0,2000000,150000,0,0,0,0,1
41,650000,0,100000,18,0,0,0,0
42,850000,0,130000,18,0,0,0,0
43,1100000,0,180000,11,7,0,0,0
44,1500000,0,250000,18,0,0,0,0
45,2000000,0,350000,9,7,1,1,0
46,2800000,0,450000,19,0,0,0,0
47,4000000,0,600000,19,0,0,0,0
48,5500000,0,850000,12,7,0,0,0
49,7500000,0,1200000,19,0,0,0,0
50,0,35000000,3000000,0,0,0,0,1
